"1002","Murphy Thompson","Diane","x5801","dmurphy@classicmodelcars.com","1","0","President","1486624186-80478101.jpg,1486624216-98934948.jpg"
"1056","Patterson","Mary","x4612","mpatterso@classicmodelcars.com","1","1002","VP Sales",NULL
"1076","Firrelli","Jeff","x9273","jfirrelli@classicmodelcars.com","1","1002","VP Marketing",NULL
"1088","Patterson","William","x4871","wpatterson@classicmodelcars.com","6","1056","Sales Manager (APAC)",NULL
"1102","Bondur","Gerard","x5408","gbondur@classicmodelcars.com","4","1056","Sale Manager (EMEA)","1486624542-54394987.jpg"
"1143","Bow","Anthony","x5428","abow@classicmodelcars.com","1","1056","Sales Manager (NA)",NULL
"1165","Jennings","Leslie","x3291","ljennings@classicmodelcars.com","1","1143","Sales Rep",NULL
"1166","Thompson","Leslie","x4065","lthompson@classicmodelcars.com","1","1143","Sales Rep",NULL
"1188","Firrelli","Julie","x2173","jfirrelli@classicmodelcars.com","2","1143","Sales Rep",NULL
"1216","Patterson","Steve","x4334","spatterson@classicmodelcars.com","2","1143","Sales Rep",NULL
"1286","Tseng","Foon Yue","x2248","ftseng@classicmodelcars.com","3","1143","Sales Rep",NULL
"1323","Vanauf","George","x4102","gvanauf@classicmodelcars.com","3","1143","Sales Rep",NULL
"1337","Bondur","Loui","x6493","lbondur@classicmodelcars.com","4","1102","Sales Rep",NULL
"1370","Hernandez","Gerard","x2028","ghernande@classicmodelcars.com","4","1102","Sales Rep",NULL
"1401","Castillo","Pamela","x2759","pcastillo@classicmodelcars.com","4","1102","Sales Rep",NULL
"1501","Bott","Larry","x2311","lbott@classicmodelcars.com","7","1102","Sales Rep",NULL
"1504","Jones","Barry","x102","bjones@classicmodelcars.com","7","1102","Sales Rep",NULL
"1611","Fixter","Andy","x101","afixter@classicmodelcars.com","6","1088","Sales Rep",NULL
"1612","Marsh","Peter","x102","pmarsh@classicmodelcars.com","6","1088","Sales Rep",NULL
"1619","King","Tom","x103","tking@classicmodelcars.com","6","1088","Sales Rep",NULL
"1621","Nishi","Mami","x101","mnishi@classicmodelcars.com","5","1056","Sales Rep",NULL
"1625","Kato","Yoshimi","x102","ykato@classicmodelcars.com","5","1621","Sales Rep",NULL
"1702","Gerard T","Martin","x2314","mgerard@classicmodelcars.com","4","1102","Sales Rep",NULL
